Gene.stable.ID	Gene.name	Gene.type	Gene.description	Chromosome.scaffold.name	logFC	logCPM	LR	PValue	FDR
ENSG00000197646	PDCD1LG2	protein_coding	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	9	2.93345849421472	0.0699886957938102	58.8119221013628	1.73486881974845e-14	2.65157350410354e-10
ENSG00000157654	PALM2AKAP2	protein_coding	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]	9	2.4912985960757	5.55327645689946	43.4721763467033	4.30030511066898e-11	7.53720215032406e-08
ENSG00000213366	GSTM2	protein_coding	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	1	-2.2251993419499	4.11737438914681	43.420382921754	4.4156454862245e-11	7.53720215032406e-08
ENSG00000105281	SLC1A5	protein_coding	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	19	1.96143708755221	4.55086028197077	43.334773646681	4.61312021548559e-11	7.53720215032406e-08
ENSG00000165806	CASP7	protein_coding	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	10	1.2906160585855	4.91832952241342	43.2465054490172	4.8259886753923e-11	7.53720215032406e-08
ENSG00000070018	LRP6	protein_coding	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]	12	-2.89896995530681	2.11539414441237	43.2151947118351	4.90383736367239e-11	7.53720215032406e-08
ENSG00000164111	ANXA5	protein_coding	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	4	1.61593182914378	6.67572289001509	43.2042150707783	4.93143296933005e-11	7.53720215032406e-08
ENSG00000182718	ANXA2	protein_coding	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	15	1.40776990253584	7.17525859096746	42.7720828171033	6.15036514440278e-11	8.54565280609565e-08
ENSG00000171621	SPSB1	protein_coding	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	1	2.13367342083393	3.12876019683119	39.6343277194384	3.06252532885402e-10	3.34340265187178e-07
ENSG00000189159	JPT1	protein_coding	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	17	1.36471387342655	5.39855436814691	38.2855424808147	6.11137498779875e-10	6.22708368756774e-07
ENSG00000144354	CDCA7	protein_coding	cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]	2	2.66078083021075	4.22985310633782	37.9426714284751	7.28542214138671e-10	6.95939950055966e-07
ENSG00000068366	ACSL4	protein_coding	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	X	1.1192062731452	5.23445319201716	35.9197393073863	2.05615048173766e-09	1.65401073488834e-06
ENSG00000105011	ASF1B	protein_coding	anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]	19	2.18128349900089	3.00188026394449	35.2480621032561	2.9027079017873e-09	2.21824937854585e-06
ENSG00000097021	ACOT7	protein_coding	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	1	1.92092838260237	3.95878386725061	35.0886530355876	3.15031152587291e-09	2.29282673149722e-06
ENSG00000100298	APOBEC3H	protein_coding	apolipoprotein B mRNA editing enzyme catalytic subunit 3H [Source:HGNC Symbol;Acc:HGNC:24100]	22	1.95504256291809	3.57882199283046	34.8545897846285	3.55271054077213e-09	2.38133562215157e-06
ENSG00000007968	E2F2	protein_coding	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	1	3.02255438483302	3.77497741969168	34.6010352121568	4.04691015432019e-09	2.40133969677381e-06
ENSG00000276043	UHRF1	protein_coding	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	19	3.54256415335397	2.80218429662058	33.3968780218228	7.51444960870553e-09	3.70486605869211e-06
ENSG00000182054	IDH2	protein_coding	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	15	1.17971007064571	7.14103384274268	33.1231734424977	8.65016146799947e-09	4.09830836448886e-06
ENSG00000160932	LY6E	protein_coding	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	8	1.46353672262017	8.02071078131966	32.9646412428204	9.38502962294623e-09	4.09830836448886e-06
ENSG00000102760	RGCC	protein_coding	regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]	13	-1.75605402529214	4.97872707526996	32.5247922338201	1.17681660639833e-08	4.73328026636634e-06
ENSG00000167670	CHAF1A	protein_coding	chromatin assembly factor 1 subunit A [Source:HGNC Symbol;Acc:HGNC:1910]	19	1.43069003048067	4.23028123829827	32.373557581401	1.27205693469765e-08	4.98515851023559e-06
ENSG00000214279	SCART1	protein_coding	scavenger receptor family member expressed on T cells 1 [Source:HGNC Symbol;Acc:HGNC:32411]	10	-2.19394084672878	4.22341252099562	32.2062804624286	1.38641876157886e-08	5.2907398208491e-06
ENSG00000128245	YWHAH	protein_coding	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	22	1.04165362488679	5.19217503879873	32.1062999127189	1.45963224778627e-08	5.2907398208491e-06
ENSG00000171314	PGAM1	protein_coding	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]	10	1.00205316668652	6.08693308755177	32.065396470288	1.49068984245574e-08	5.2907398208491e-06
ENSG00000132646	PCNA	protein_coding	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	20	1.80194910826617	5.652760018036	32.0602089018699	1.49467572183066e-08	5.2907398208491e-06
ENSG00000137265	IRF4	protein_coding	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	6	2.29178703520061	4.77823889479816	32.0054852474878	1.5373786305281e-08	5.2907398208491e-06
ENSG00000115155	OTOF	protein_coding	otoferlin [Source:HGNC Symbol;Acc:HGNC:8515]	2	5.28890391996826	4.91682980046984	31.979939847712	1.55772894489799e-08	5.2907398208491e-06
ENSG00000140284	SLC27A2	protein_coding	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	15	2.93578332524527	1.65793614398707	31.6612079708597	1.83552204443735e-08	6.09872150590881e-06
ENSG00000168785	TSPAN5	protein_coding	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	4	1.22246941588061	4.63954678469642	31.4272332290764	2.07056256755763e-08	6.59301630886474e-06
ENSG00000271109	AC008555.4	lncRNA	novel transcript	19	-1.00501882462329	4.46277045755603	31.2323441931029	2.28920017504366e-08	6.99762709507345e-06
ENSG00000089692	LAG3	protein_coding	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]	12	2.18723717003602	5.99616604199853	30.9342345065905	2.66921559140275e-08	7.69741341490558e-06
ENSG00000225032	AL162586.1	lncRNA	novel transcript	9	-1.56706503721326	4.44906924539852	30.7059598274911	3.00241443854597e-08	8.0043478643354e-06
ENSG00000138180	CEP55	protein_coding	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	10	3.9772271224563	2.1566659285505	30.6966534225183	3.01684921208324e-08	8.0043478643354e-06
ENSG00000144746	ARL6IP5	protein_coding	ADP ribosylation factor like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]	3	1.07515117976975	7.93145481786048	30.6579244745914	3.07767053628064e-08	8.0043478643354e-06
ENSG00000111206	FOXM1	protein_coding	forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]	12	3.57278988707732	2.82683144918653	30.649192827457	3.09155184696265e-08	8.0043478643354e-06
ENSG00000135114	OASL	protein_coding	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	12	2.0842916496924	5.07505116505418	30.6241130346202	3.13177274255293e-08	8.0043478643354e-06
ENSG00000138778	CENPE	protein_coding	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	4	2.86926086382088	2.50380333737918	30.4567910267005	3.41386154979261e-08	8.06300502689815e-06
ENSG00000163950	SLBP	protein_coding	stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]	4	1.0593390118919	5.41982554075357	30.4481818527892	3.42904558197055e-08	8.06300502689815e-06
ENSG00000231991	ANXA2P2	processed_pseudogene	annexin A2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:539]	9	1.68211565173082	0.147115892777854	30.0466225571495	4.21782505941355e-08	9.76746033455708e-06
ENSG00000088325	TPX2	protein_coding	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	20	3.46591297112722	3.51094933097	29.9439590306029	4.4471525329627e-08	9.99562931085321e-06
ENSG00000103485	QPRT	protein_coding	quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]	16	1.55431868499161	2.13293813265131	29.891467647755	4.56919144135036e-08	1.01210901434201e-05
ENSG00000112561	TFEB	protein_coding	transcription factor EB [Source:HGNC Symbol;Acc:HGNC:11753]	6	1.44878197630214	5.2076379213807	29.4687078064054	5.68268440272047e-08	1.22164228794181e-05
ENSG00000138496	PARP9	protein_coding	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	3	1.91719222067193	7.04168382263716	29.4442263166434	5.75492310467225e-08	1.22164228794181e-05
ENSG00000168496	FEN1	protein_coding	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	11	2.00695457192411	3.89752163273783	29.1207147533921	6.80059558798665e-08	1.40459868874038e-05
ENSG00000148773	MKI67	protein_coding	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	10	3.68950630090659	5.92535757981265	28.9956638542621	7.2540491702442e-08	1.46719774540332e-05
ENSG00000065911	MTHFD2	protein_coding	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	2	1.55617067801589	4.63056456673195	28.9592588012129	7.39166621277519e-08	1.46719774540332e-05
ENSG00000167325	RRM1	protein_coding	ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]	11	1.36206562273483	5.19779005923363	28.8700930106261	7.73987975228488e-08	1.51661951453746e-05
ENSG00000160791	CCR5	protein_coding	C-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1606]	3	2.12158472815795	6.21375134089657	28.7811259003068	8.10370024678193e-08	1.56780955154196e-05
ENSG00000164611	PTTG1	protein_coding	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	5	1.81785401870134	3.33479962616191	28.7559882582007	8.20956852169036e-08	1.56843806606894e-05
ENSG00000165949	IFI27	protein_coding	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	14	7.14062262724469	5.05186033804512	28.5895695302907	8.94627929744039e-08	1.66749918026926e-05
ENSG00000198832	SELENOM	protein_coding	selenoprotein M [Source:HGNC Symbol;Acc:HGNC:30397]	22	-1.03337825592249	3.91652649044245	28.5456823522042	9.1513666359654e-08	1.68517455016982e-05
ENSG00000132613	MTSS2	protein_coding	MTSS I-BAR domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25094]	16	-1.44612539452008	2.8966968679876	28.4744999997419	9.49407134801031e-08	1.72746888670226e-05
ENSG00000143434	SEMA6C	protein_coding	semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740]	1	-1.34086187718068	2.13913060107601	28.3369698320309	1.0193059743654e-07	1.83283206025892e-05
ENSG00000270055	AC127502.2	lncRNA	novel transcript	15	-1.29923698530013	3.92990239760724	28.2892904111349	1.04472389714103e-07	1.85669302836088e-05
ENSG00000116824	CD2	protein_coding	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	1	1.02646189757195	8.38151100840759	28.2141209631118	1.08609304884934e-07	1.90802829409348e-05
ENSG00000168394	TAP1	protein_coding	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	6	1.00840266451249	8.68644888849539	28.1855652089754	1.10223537794408e-07	1.91438244505652e-05
ENSG00000186231	KLHL32	protein_coding	kelch like family member 32 [Source:HGNC Symbol;Acc:HGNC:21221]	6	-1.55664810724037	1.13143282094487	28.1564330234844	1.11895134093185e-07	1.92157890952837e-05
ENSG00000117411	B4GALT2	protein_coding	beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]	1	1.57381627536854	2.33024715311626	27.9943270657262	1.21671618216621e-07	2.06253056583973e-05
ENSG00000171320	ESCO2	protein_coding	establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:27230]	8	3.42064173563246	0.908433534743187	27.9684155265757	1.23311809390986e-07	2.06253056583973e-05
ENSG00000171848	RRM2	protein_coding	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	2	3.71238925842232	4.76642680136134	27.9552870312056	1.24151277190039e-07	2.06253056583973e-05
ENSG00000109805	NCAPG	protein_coding	non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304]	4	3.47626847022356	2.06072016502831	27.7695545822728	1.36659870548449e-07	2.22203134198137e-05
ENSG00000104738	MCM4	protein_coding	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	8	2.14331948145561	5.29109424582173	27.6973484668176	1.41857017351534e-07	2.28225542442194e-05
ENSG00000079263	SP140	protein_coding	SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]	2	1.0851491445286	6.06805551453218	27.5090425044738	1.56361738033393e-07	2.41397252939634e-05
ENSG00000025708	TYMP	protein_coding	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	22	2.74575580328244	4.91815700558729	27.4816405558725	1.58592884386663e-07	2.42393364496576e-05
ENSG00000167513	CDT1	protein_coding	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	16	3.22227525529564	2.36975518679455	27.3828504581095	1.66904853513924e-07	2.50095468735962e-05
ENSG00000240291	AL450384.2	lncRNA	novel transcript, antisense to CACNB2	10	-1.25119565828818	2.46249314478622	27.1672728227817	1.86590650445678e-07	2.62737803104995e-05
ENSG00000178999	AURKB	protein_coding	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	17	3.11090987196148	1.77812248797726	27.1597968028904	1.87313588365699e-07	2.62737803104995e-05
ENSG00000093009	CDC45	protein_coding	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	22	3.11784968197348	2.03012495430315	27.1329271835887	1.89935159656614e-07	2.62737803104995e-05
ENSG00000115415	STAT1	protein_coding	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	2	1.73617991230004	8.72090714950336	27.1138912400583	1.91814652285622e-07	2.62737803104995e-05
ENSG00000143476	DTL	protein_coding	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	1	3.67912944254269	2.59268825627967	27.10967448959	1.92233503876358e-07	2.62737803104995e-05
ENSG00000142303	ADAMTS10	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif 10 [Source:HGNC Symbol;Acc:HGNC:13201]	19	-1.71152860238362	5.93958473394689	27.106672193324	1.92532281783299e-07	2.62737803104995e-05
ENSG00000270589	AL158163.1	lncRNA	novel transcript, antisense to BBIP1	10	-1.42564052367963	0.866151554475449	27.0556138965292	1.9768528142711e-07	2.65037003625609e-05
ENSG00000121152	NCAPH	protein_coding	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	2	2.45714763479404	3.01050741103034	26.7806919683619	2.2790308285092e-07	3.00281958473574e-05
ENSG00000140534	TICRR	protein_coding	TOPBP1 interacting checkpoint and replication regulator [Source:HGNC Symbol;Acc:HGNC:28704]	15	3.56189899729226	1.25892036453502	26.6754095586732	2.40664939598981e-07	3.0910276780091e-05
ENSG00000068489	PRR11	protein_coding	proline rich 11 [Source:HGNC Symbol;Acc:HGNC:25619]	17	2.14544644452159	3.06304893423051	26.5945340525365	2.50952733446191e-07	3.16114829044659e-05
ENSG00000076003	MCM6	protein_coding	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	2	1.37639360866016	5.63091412628239	26.5839653991513	2.52329293008691e-07	3.16114829044659e-05
ENSG00000101412	E2F1	protein_coding	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	20	2.4283692262749	2.82265502774554	26.4860061136941	2.65454137510035e-07	3.27193632072853e-05
ENSG00000094804	CDC6	protein_coding	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	17	3.21317549793199	2.1085175681093	26.3949714763951	2.78263965202305e-07	3.36072965223755e-05
ENSG00000163840	DTX3L	protein_coding	deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]	3	1.34720355780998	6.97719343889105	26.298733140799	2.92480467989846e-07	3.43461310120213e-05
ENSG00000110318	CEP126	protein_coding	centrosomal protein 126 [Source:HGNC Symbol;Acc:HGNC:29264]	11	-1.25487533359546	3.03885331233621	26.2862139509192	2.94382567559199e-07	3.43461310120213e-05
ENSG00000137404	NRM	protein_coding	nurim [Source:HGNC Symbol;Acc:HGNC:8003]	6	1.20309085970545	3.30172352887816	26.2696943153849	2.96911462852576e-07	3.43787484715059e-05
ENSG00000112984	KIF20A	protein_coding	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	5	4.78947070442411	0.907719953644575	26.2416259431513	3.01258321489635e-07	3.46197908695307e-05
ENSG00000163568	AIM2	protein_coding	absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]	1	2.26204086568408	2.02077208475397	26.1445667200865	3.16787229338247e-07	3.61326568149684e-05
ENSG00000164142	FAM160A1	protein_coding	family with sequence similarity 160 member A1 [Source:HGNC Symbol;Acc:HGNC:34237]	4	-2.68718778130662	-0.209098670306117	26.0810558874453	3.27380397203248e-07	3.70643110433662e-05
ENSG00000064300	NGFR	protein_coding	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	17	2.84818450122882	1.50267638346636	25.851503573982	3.68717368008595e-07	4.05429946233336e-05
ENSG00000143493	INTS7	protein_coding	integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484]	1	1.00686491235738	4.35548271712718	25.824131550092	3.73983381091108e-07	4.08282999756892e-05
ENSG00000136810	TXN	protein_coding	thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]	9	1.18802893603117	5.05819484881466	25.5642307530435	4.27898485239602e-07	4.57342688699445e-05
ENSG00000113810	SMC4	protein_coding	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	3	1.19345098418911	6.05830086865707	25.465006128872	4.50480060100855e-07	4.74837050936653e-05
ENSG00000156587	UBE2L6	protein_coding	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	11	1.1764629356627	6.90667811294475	25.3892236887652	4.68528115047986e-07	4.87210025086101e-05
ENSG00000167900	TK1	protein_coding	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	17	3.05806648941632	2.93069848958583	25.2891116074084	4.93486654717235e-07	5.02830002046548e-05
ENSG00000275302	CCL4	protein_coding	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	17	1.70869258844807	6.21851982380282	25.2059165358735	5.15238908993944e-07	5.1470009706297e-05
ENSG00000259030	FPGT-TNNI3K	protein_coding	FPGT-TNNI3K readthrough [Source:HGNC Symbol;Acc:HGNC:42952]	1	-2.16282468326334	-0.273011972068487	25.1307643622712	5.35713551867871e-07	5.31678306931724e-05
ENSG00000107736	CDH23	protein_coding	cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]	10	-1.69908682401831	5.46428354278325	25.0938706506921	5.46061523612617e-07	5.38451892057757e-05
ENSG00000176890	TYMS	protein_coding	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	18	3.47647187688118	3.99358150324993	25.065035449769	5.54288572201343e-07	5.43060675482393e-05
ENSG00000057657	PRDM1	protein_coding	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	6	1.52710626731585	6.69134990870378	24.960929131507	5.85039449354604e-07	5.62994212686558e-05
ENSG00000092853	CLSPN	protein_coding	claspin [Source:HGNC Symbol;Acc:HGNC:19715]	1	3.20114052018385	2.58697802915755	24.9588032510469	5.85684898044771e-07	5.62994212686558e-05
ENSG00000131153	GINS2	protein_coding	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	16	3.19741958549462	2.08697391590244	24.9441929167333	5.90140167627198e-07	5.63731395125881e-05
ENSG00000126603	GLIS2	protein_coding	GLIS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:29450]	16	2.72590231461355	-0.5965824251341	24.8408212924774	6.22648171731477e-07	5.91090351350553e-05
ENSG00000135069	PSAT1	protein_coding	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	9	1.58262014221671	2.88675647651361	24.7957134488158	6.37390568982234e-07	5.98980842956837e-05
ENSG00000184661	CDCA2	protein_coding	cell division cycle associated 2 [Source:HGNC Symbol;Acc:HGNC:14623]	8	3.95787678984954	1.25005077017394	24.7914620893876	6.38797941651167e-07	5.98980842956837e-05
ENSG00000110880	CORO1C	protein_coding	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]	12	1.65677739270686	4.12178076694705	24.7642664298911	6.47874819640064e-07	6.03787728254801e-05
ENSG00000073111	MCM2	protein_coding	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	3	1.92318955539453	4.90985888162209	24.6604777381977	6.83720133273587e-07	6.25747216584042e-05
ENSG00000171552	BCL2L1	protein_coding	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	20	1.00688910659915	6.22100064049297	24.5722488973486	7.15751212114034e-07	6.3823763039566e-05
ENSG00000145386	CCNA2	protein_coding	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	4	2.9235666236995	3.00918108838183	24.565541422149	7.18247006202915e-07	6.3823763039566e-05
ENSG00000125726	CD70	protein_coding	CD70 molecule [Source:HGNC Symbol;Acc:HGNC:11937]	19	2.1993582710903	2.39267261712806	24.4800771229433	7.50822065873841e-07	6.59515198552632e-05
ENSG00000070087	PFN2	protein_coding	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	3	-2.13952478209609	2.41352743312743	24.3931752833873	7.8546459461341e-07	6.86002335089792e-05
ENSG00000131747	TOP2A	protein_coding	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	17	3.42584268249643	4.3290034422994	24.2289575491744	8.55365011453597e-07	7.38610103675524e-05
ENSG00000165304	MELK	protein_coding	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	9	3.56501007341433	1.53494219433918	24.180563187709	8.77130530528042e-07	7.48942068636346e-05
ENSG00000164105	SAP30	protein_coding	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	4	1.91397894036612	3.12049284117984	24.1243598977588	9.0310617104082e-07	7.66837484343772e-05
ENSG00000130487	KLHDC7B	protein_coding	kelch domain containing 7B [Source:HGNC Symbol;Acc:HGNC:25145]	22	1.10126943074897	3.83905055345732	24.067559058654	9.30141861712171e-07	7.81114737055429e-05
ENSG00000167261	DPEP2	protein_coding	dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:23028]	16	-1.23271873020487	5.66919554938556	23.8994408312117	1.01501239469133e-06	8.34055722606715e-05
ENSG00000156802	ATAD2	protein_coding	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	8	1.09860431219469	4.96283863218633	23.8805905187308	1.02500022517479e-06	8.34055722606715e-05
ENSG00000149554	CHEK1	protein_coding	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	11	2.61480141334015	2.62589492347682	23.8787492195588	1.02598110511788e-06	8.34055722606715e-05
ENSG00000206561	COLQ	protein_coding	collagen like tail subunit of asymmetric acetylcholinesterase [Source:HGNC Symbol;Acc:HGNC:2226]	3	-1.72752250408296	4.05433081827115	23.872386736638	1.02937772014207e-06	8.34055722606715e-05
ENSG00000117228	GBP1	protein_coding	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	1	1.74419101202845	6.81135187769729	23.8600757112247	1.03598202110571e-06	8.34055722606715e-05
ENSG00000197471	SPN	protein_coding	sialophorin [Source:HGNC Symbol;Acc:HGNC:11249]	16	1.06263861211666	8.78445740330062	23.8556758241562	1.03835265181792e-06	8.34055722606715e-05
