ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04110	Cell cycle	116	0.708654895980824	2.63412098607888	1e-10	1.05333333333333e-08	6.94736842105263e-09	1148	tags=33%, list=8%, signal=30%	991/9133/993/983/701/9088/990/8318/1870/699/7272/890/9700/4998/1111/891/1869/5347/4173/4171/9232/5111/9134/4175/7465/1029/1031/23594/7533/1030/7531/4172/7027/4085/10971/4174/5933/7532
hsa05164	Influenza A	129	0.638611120170672	2.41552104301901	1e-10	1.05333333333333e-08	6.94736842105263e-09	2630	tags=50%, list=19%, signal=41%	3117/3118/4938/91543/4940/4599/3127/51284/6772/4939/3665/5610/3113/3122/3123/3458/7099/8743/64135/7098/3717/3838/8503/7706/356/3115/29108/6352/60/355/4600/7416/834/578/4615/29110/836/3460/6773/103/148022/7124/5594/4261/5611/54205/71/5371/5579/55916/8717/1021/8766/3383/637/3119/2224/896/1965/10241/292/3108/4793/8772/7187
hsa05169	Epstein-Barr virus infection	176	0.598779173840844	2.35772563540104	1e-10	1.05333333333333e-08	6.94736842105263e-09	3433	tags=53%, list=25%, signal=40%	3117/3118/1870/890/4938/4940/1869/3127/9636/8819/9134/953/6772/4939/3665/5610/3113/3122/3123/10018/8503/6890/5600/917/965/3115/355/578/811/10213/4615/5336/29110/836/5971/6773/5707/5714/7124/5925/864/2923/54205/7186/5701/6774/5879/5606/8717/5704/596/1026/1021/898/7431/3383/637/6891/3119/567/11047/6892/896/3683/5702/5700/5708/7979/5713/4193/3108/4793/915/8772/7187/23586/22938/3654/5710/5719/3107/1147/841/9541/7097/3105/1432/916/3109/581/9612/1019/7157
hsa05166	Human T-cell leukemia virus 1 infection	188	0.539935366909303	2.14888615744215	7.19751745853714e-10	5.68603879224434e-08	3.75028541260619e-08	2622	tags=34%, list=19%, signal=27%	991/9133/3117/3118/701/1870/890/9700/1111/1869/3127/9232/9134/3113/3122/3123/1029/1031/8503/1030/598/3559/917/4085/3115/7416/811/6688/3601/5971/7124/5925/4893/7040/5594/5901/6513/4773/3561/5530/1026/898/3845/3383/4055/3119/567/5902/821/2224/8850/896/3683/5567/5534/292/8379/3108/7094/7419/915/10393/4088
hsa05160	Hepatitis C	116	0.610673345209929	2.26991654665714	9.30305671842338e-10	5.87953184604358e-08	3.87790574789017e-08	2047	tags=37%, list=15%, signal=32%	3434/1870/4938/91543/4940/1869/4599/6772/4939/3665/5610/3458/3949/7098/8503/7533/7531/356/355/4600/578/10971/29110/7532/836/6773/5521/148022/7124/100506658/5925/4893/7534/5594/54205/7186/6774/975/8717/1026/1021/3845/637
hsa05170	Human immunodeficiency virus 1 infection	175	0.528750118988361	2.08290453541081	4.9811620003966e-09	2.62341198687554e-07	1.73029837908513e-07	3429	tags=53%, list=25%, signal=40%	9133/983/1111/891/59345/1234/200315/100913187/164668/7099/7465/2775/115004/684/8503/6890/598/356/5600/917/7133/1174/355/2787/60489/578/27350/811/130340/4615/5336/29110/836/140564/2793/7124/5829/4893/85363/25939/5594/2923/1642/54331/200316/54205/7186/2773/4773/1072/5579/5530/5879/5606/6921/8717/596/3845/637/6891/567/6892/805/5880/2771/340061/9978/5534/8451/915/8772/8905/162/3985/5062/3654/3107/1399/1147/5532/5604/841/801/7097/808/3105/6923/9616/1432/916/572/581/2782
hsa04612	Antigen processing and presentation	67	0.657559211174865	2.25192317924307	3.42241724618706e-08	1.54497692827873e-06	1.01900543570682e-06	2590	tags=57%, list=19%, signal=46%	3117/3118/3127/3804/3310/3812/3113/3122/3303/3123/3458/3809/6890/3115/972/3824/3304/811/925/5721/3320/5720/7124/2923/4261/3308/1520/3805/3811/6891/3119/567/6892/821/10197/1508/3108/3312
hsa05162	Measles	113	0.573263154155089	2.11612851370389	6.68225998937743e-08	2.51775582986184e-06	1.66061177319335e-06	3688	tags=54%, list=27%, signal=40%	4938/4940/4599/51284/9134/6772/4939/3665/3310/5610/7161/3303/7099/64135/8503/598/356/3559/917/3304/355/4600/578/4615/29110/836/2213/6773/103/4478/54205/9367/3561/6774/8717/596/1021/898/637/896/1965/4793/915/3312/8772/7187/23586/3654/1147/841/7097/27102/916/572/581/1019/7157/868/3305/1459/1457
hsa04621	NOD-like receptor signaling pathway	136	0.544359218418988	2.09274997478839	7.17082356606221e-08	2.51775582986184e-06	1.66061177319335e-06	2630	tags=40%, list=19%, signal=32%	4938/4940/9447/440068/2633/6772/4939/3665/64127/84674/7295/7099/3428/115361/7226/1536/7531/598/5600/29108/6352/7416/834/24145/114769/2635/5580/330/4615/29110/115362/4210/10010/6773/3320/148022/7124/5594/7186/387/596/118429/2634/340061/91662/10628/837/23710/1508/4793/7419/10135/8772/7187
hsa05163	Human cytomegalovirus infection	173	0.506789039607892	1.99711075496525	8.21061703141832e-08	2.59455498192819e-06	1.71126544444298e-06	3468	tags=49%, list=26%, signal=37%	7422/1870/1230/1869/6349/414062/59345/1234/6351/3690/1029/2775/115004/6348/9560/388372/8503/6890/356/5600/6352/355/2787/578/811/29110/1978/836/2793/7124/5829/5732/5925/4893/5594/2923/54331/54205/7186/23365/2773/4773/387/6714/5579/5530/6774/5879/8717/1026/1021/3845/637/6891/567/6892/805/5880/2771/5567/340061/5534/4193/11214/8772/115/6009/3107/1399/1147/5532/5604/841/801/808/3105/1432/6093/581/1019/2782/7157/6654/10672
