ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04110	Cell cycle	116	0.754090843963801	2.49784979769737	1e-10	3.16e-08	2.55789473684211e-08	927	tags=31%, list=7%, signal=29%	991/993/9133/9700/9088/699/701/890/8318/4998/983/990/5347/7272/891/4173/1869/1111/1870/4171/9134/4175/9232/5111/23594/4174/4172/7531/10912/898/7465/7027/8317/4085/7533/4176
hsa04114	Oocyte meiosis	91	0.699559876813588	2.25220276601133	3.17318724038958e-09	5.01363583981553e-07	4.05833947060351e-07	911	tags=21%, list=7%, signal=20%	991/9133/9700/9088/699/983/151648/5347/6790/891/9134/9232/5600/9985/6300/7531/898/4085/7533
hsa05169	Epstein-Barr virus infection	176	0.567068469928611	1.99833312900054	7.99598051436438e-08	8.42243280846381e-06	6.81762549119489e-06	2924	tags=48%, list=22%, signal=38%	890/3127/1869/1870/9134/10018/953/4938/4940/5600/8819/6300/9636/6772/4939/1380/10912/898/6890/3123/3119/3112/8503/3117/3118/3665/6773/578/836/811/5707/23586/5971/1017/896/7186/4794/5610/3107/3383/3718/596/4793/4790/4615/10213/5336/11047/5709/841/7157/6891/5708/8517/5606/5700/3654/5717/5714/10379/5879/5719/864/6892/5704/1019/3683/8772/965/2923/6774/5702/3113/5701/1643/8717/8737/5970/1432/5710/3122/7297/1021/4067/4193
hsa04914	Progesterone-mediated oocyte maturation	69	0.704945657033565	2.17779260574727	4.22198255182438e-07	3.33536621594126e-05	2.6998467370877e-05	1198	tags=22%, list=9%, signal=20%	993/9133/9088/699/890/983/5347/6790/891/5600/6300/8503/4085/2770/1017
hsa05166	Human T-cell leukemia virus 1 infection	188	0.523389695512297	1.86360322554582	6.23044034219433e-06	0.000393763829626682	0.000318736211190152	2491	tags=29%, list=18%, signal=24%	991/9133/9700/701/890/3127/1869/1111/1870/9134/9232/898/3123/3119/3112/8503/3117/3118/7416/4085/811/598/5971/1017/896/5902/1031/3107/3383/3718/4790/5901/2874/2224/148327/3601/7157/2113/115/8517/292/8379/7419/1019/6722/3560/3683/5594/4088/6513/7094/7040/3265/3113/8850
hsa03010	Ribosome	127	-0.507808715650985	-1.98056546323464	1.2637253264906e-05	0.00062378562921183	0.000504929739835026	2808	tags=59%, list=21%, signal=47%	6209/6159/6229/6168/51373/6139/6231/6142/9045/6132/6228/6147/6128/51065/6187/6154/6233/9349/6134/6130/6167/3921/6136/6138/25873/6205/2197/6171/6129/6141/51187/6143/6230/6206/7311/6169/6157/6164/4736/6135/6124/6125/23521/6201/6165/6224/6137/6152/6217/6170/6227/6222/6144/6146/6232/6194/6210/6122/6235/11224/6188/6155/6156/6234/6208/6166/6161/6160/6204/6207/6202/6191/6193/6133/6189
hsa03030	DNA replication	34	0.748490737238552	2.03128754099201	1.38180360901355e-05	0.00062378562921183	0.000504929739835026	1945	tags=56%, list=14%, signal=48%	4173/4171/5427/2237/4175/5111/5983/4174/4172/5422/5982/4176/5984/10714/5985/23649/5426/6119/5981
hsa04218	Cellular senescence	138	0.53872189917136	1.82943116111499	2.70087359367409e-05	0.00106684506950127	0.000863568793766848	871	tags=12%, list=6%, signal=12%	993/9133/2305/4605/890/983/891/1869/1111/1870/9134/5600/6300/10912/898/8503/7416
hsa05160	Hepatitis C	116	0.55639859554234	1.84301418116841	4.47717019106316e-05	0.00157198420041773	0.00127245889640742	2881	tags=42%, list=21%, signal=34%	1869/1870/100506658/4938/3434/4940/91543/7531/4599/6772/3949/4939/8503/3665/6773/578/836/7533/356/7532/23586/1017/7186/5610/949/4600/4790/841/7157/8517/5519/10379/148022/1019/5594/8837/8772/3265/6774/440275/8717/10971/8737/6256/5970/27102/5518/7297/1021
hsa04115	p53 signaling pathway	66	0.635776134429962	1.94986826799873	5.32906323982566e-05	0.00168398398378491	0.00136311828134488	1215	tags=24%, list=9%, signal=22%	9133/6241/51512/983/891/1111/9134/7057/7161/10912/898/64065/836/598/1017/896
hsa05164	Influenza A	129	0.533315568407866	1.7916839280235	0.000164120798434102	0.00425250139652869	0.00344223131031469	3353	tags=52%, list=25%, signal=39%	3127/4938/4940/3838/91543/3460/4599/6772/4939/3123/3119/3112/8503/7706/3117/3118/3665/6773/7416/578/836/60/71/356/5371/23586/896/5610/3717/103/3383/4600/4793/4790/4615/2224/841/7099/64135/8517/292/10379/79671/8480/148022/834/1019/5594/8772/29108/3113/5579/8717/5970/10241/3122/7297/1021/4261/355/11100/291/54205/29110/7187/1965/6352
hsa03460	Fanconi anemia pathway	47	0.664984684371692	1.93112955116509	0.000174061325127463	0.00425250139652869	0.00344223131031469	2397	tags=45%, list=18%, signal=37%	5888/116028/672/55215/29089/675/2175/146956/83990/91442/55120/641/2189/2176/5395/6119/4292/7398/22909/6117/201254
hsa05206	MicroRNAs in cancer	126	0.524773658877785	1.7573056811842	0.000174944677705294	0.00425250139652869	0.00344223131031469	934	tags=21%, list=7%, signal=19%	993/7422/113130/9493/1869/1870/3690/9134/672/1946/3925/7057/10018/8651/2146/5159/54541/898/6541/1944/8503/10253/4363/578/836/90427
hsa05203	Viral carcinogenesis	158	0.486079504958418	1.68257731108909	0.000248946424302638	0.00561907643425954	0.00454841963199556	2924	tags=41%, list=22%, signal=32%	991/890/983/1111/9134/2966/728340/1234/7531/8339/898/2968/8503/3665/85236/578/836/7533/8344/81/7532/5829/1017/896/7186/5902/9759/3017/5610/3107/3718/4790/1642/6672/841/148327/7157/9114/23513/8517/5700/8379/7419/5933/10379/5879/5315/1019/6722/5594/3265/6774/8850/9261/8717/2961/6776/10971/5970/55869/8365/1021/4067/4193
hsa04621	NOD-like receptor signaling pathway	136	0.499282164097687	1.68620280721598	0.000335683034065418	0.00707172258431148	0.00572427910722082	3519	tags=50%, list=26%, signal=37%	9447/2633/4938/4940/5600/6300/7531/6772/84674/4939/440068/3665/6773/7416/3428/115361/115362/7295/598/5580/7186/2634/596/4793/4790/114769/4615/3320/841/7099/10628/24145/10616/8517/340061/7419/10379/3326/79671/148022/834/5594/8772/837/56919/2635/29108/7205/9927/8737/5970/1432/7297/55072/387/79792/79184/330/10392/29110/7417/7187/6352/9051/10010/11035/10135/4210
hsa05168	Herpes simplex virus 1 infection	438	-0.319807876427418	-1.42574328517238	0.000481976434870967	0.00951903458870159	0.0077052811627398	3567	tags=41%, list=26%, signal=31%	91661/29915/162655/84449/25799/162962/374879/55762/7625/7189/7743/147657/55552/6041/146198/7554/282890/91664/93134/5500/10793/10795/57209/57573/56242/80095/7592/147948/113835/94039/90321/6850/84775/9534/163049/92285/7188/7768/347344/7639/7581/7766/7549/126375/10520/10172/162972/7733/390980/148103/163087/6428/91120/7752/388559/3459/148266/125893/199704/90649/163131/55659/84503/22835/256051/9668/100131827/170960/201514/388536/146434/84527/65251/79788/7569/55422/57232/101060200/342908/390927/7571/5291/7695/10929/6432/170959/284390/7644/30832/3592/90987/284323/5290/90233/80264/81856/91975/79230/57786/162993/51710/3458/7567/51427/7562/90317/126017/7728/284406/90576/81931/147923/641339/148268/84874/84924/147694/374900/199692/7594/440515/339327/84765/57677/7561/83744/339318/7700/84911/5452/51276/126295/100129842/162966/7539/57711/171392/84436/345462/126231/84671/162967/90075/340252/55900/284307/80778/7556/10224/117608/147660/342909/148254/90594/284306/92283/728927/400720/79862/7712/388566/163255/3135/64170/126068/93474/442319/389114/140612/7694/255403/147837/55786/63934/163059/162963/155054/79973/152687/346171
hsa05161	Hepatitis B	134	0.493996190898679	1.67203801454095	0.000525130063552979	0.00976124118133772	0.00790133779835132	2769	tags=34%, list=20%, signal=27%	332/890/1869/1870/9134/5111/5600/6300/6772/898/8503/3665/6773/836/356/23586/1017/3717/3718/596/4790/4615/1642/841/148327/7099/7157/64135/8517/5606/7419/3654/148022/5594/4088/8772/7040/3265/6774/5579/1643/6776/10971/5970/1432
hsa03430	Mismatch repair	22	0.740657366999362	1.85215509132776	0.00062131936653931	0.0109076066570234	0.00882927520871651	2501	tags=64%, list=18%, signal=52%	9156/5111/5983/5982/5984/10714/5985/5395/6119/2956/5981/4292/6117/5424
hsa01230	Biosynthesis of amino acids	52	0.624473997028727	1.85113569510166	0.000798734431850421	0.0132842147613017	0.0107530452598145	2273	tags=54%, list=17%, signal=45%	586/5831/29968/2752/26227/3418/2597/5223/84706/6472/2023/6120/162417/5634/6888/3417/7086/1431/2805/226/2806/6470/3419/7167/5832/5214/5315/4144
hsa05332	Graft-versus-host disease	32	0.686680287501772	1.84395552562438	0.000869258635518492	0.0134702973927842	0.0109036717736394	1419	tags=47%, list=10%, signal=42%	3127/3804/3002/3812/5551/3123/3119/3112/3117/3118/3811/356/942/3824/3107
hsa04310	Wnt signaling pathway	98	-0.479131932543979	-1.79237725404008	0.000895177991292619	0.0134702973927842	0.0109036717736394	2001	tags=24%, list=15%, signal=21%	23002/5578/4089/23401/6259/7088/84133/23236/85407/6934/7089/6932/7976/5176/1488/3725/8325/59352/80326/8313/55366/6425/4040/7476
hsa05170	Human immunodeficiency virus 1 infection	175	0.457233914150571	1.61192160998457	0.000984846195431859	0.0136958646773123	0.0110862595489237	2769	tags=34%, list=20%, signal=28%	9133/983/891/1111/1234/5600/6300/164668/5747/59345/6890/7465/2775/8503/7133/578/836/356/2793/2787/811/684/2770/598/5829/7186/200316/3985/3107/60489/596/1174/4790/4615/5336/1642/841/7099/162/6891/8517/5606/1072/340061/3654/8451/5879/25939/6892/5594/8772/3265/2923/5579/3984/8717/8737/5058/5970/1432
hsa03440	Homologous recombination	40	0.660077786480601	1.85885455058409	0.00101947486824331	0.0136958646773123	0.0110862595489237	3291	tags=62%, list=24%, signal=47%	5888/8438/672/5932/675/146956/83990/7516/641/580/7517/10714/6119/11073/6117/9577/10111/5424/7156/4683/6118/5425/79184/5889/7979
hsa00240	Pyrimidine metabolism	47	0.627561117988245	1.82245072494318	0.00104019225397309	0.0136958646773123	0.0110862595489237	1077	tags=23%, list=8%, signal=22%	6241/7298/7083/129607/953/1890/6240/7371/79077/1503/56953
hsa05162	Measles	113	0.511368091626486	1.69149693639928	0.0010865325410786	0.0137337713192335	0.0111169434729305	3317	tags=49%, list=24%, signal=37%	9134/4938/4940/7161/4599/6772/4939/3310/898/8503/3665/6773/578/836/356/598/23586/1017/896/5610/103/4600/3718/596/4793/4790/4615/841/7099/7157/3303/64135/8517/3654/10379/1019/3560/8772/4478/6774/440275/8717/6776/5970/27102/7297/1021/1457/917/355/2213/54205/29110/7187/1965
hsa01523	Antifolate resistance	23	0.72306761461668	1.80727671237406	0.00171667893466415	0.020674132916721	0.0167348910684983	1962	tags=52%, list=14%, signal=45%	7298/1719/8836/9429/4363/6573/6472/2618/4790/8517/6470/200895
