ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05164	Influenza A	129	0.58916629058328	2.41644788718562	1e-10	3.16e-08	2.27368421052632e-08	2425	tags=38%, list=18%, signal=32%	3118/3117/51284/91543/4938/4599/3458/4940/3113/3122/8743/5610/3665/7098/4939/6772/3115/7099/64135/6352/7124/355/29108/3717/834/29110/55916/3123/8766/4600/8503/356/5611/7706/4615/4261/54205/3109/148022/60/3108/9021/5594/637/7416/5579/578/1021/8717
hsa04514	Cell adhesion molecules	89	0.585947125264953	2.26011039528789	3.66037607110187e-08	4.80048324128683e-06	3.45404523690191e-06	2049	tags=45%, list=15%, signal=38%	6614/4267/3118/3117/80380/3113/942/3122/3897/920/1462/3688/999/3115/25945/7412/965/6385/6693/5797/914/3135/933/925/927/3123/29126/6404/29851/214/5788/5133/3109/1493/10666/9019/3108/3105/23705/958
hsa05160	Hepatitis C	116	0.547066670875409	2.21537555250798	4.55742079869002e-08	4.80048324128683e-06	3.45404523690191e-06	2708	tags=40%, list=20%, signal=32%	3434/91543/4938/4599/3458/4940/1870/5610/3665/7098/4939/6772/7124/355/7534/10971/29110/1869/5925/5521/3845/7533/4600/8503/356/4893/975/1026/3949/54205/148022/9021/5594/637/7529/578/1021/5515/6774/8717/5465/572/6654/5291/7532/1965
hsa04060	Cytokine-cytokine receptor interaction	129	0.521691532772155	2.13970218982124	7.34111570640734e-08	5.79948140806179e-06	4.17284471732627e-06	2052	tags=42%, list=15%, signal=36%	8792/6349/414062/9560/388372/7293/3574/3568/3458/970/8744/1233/1237/3559/6846/920/4804/8743/1524/1230/1234/1436/9235/2833/60401/6352/7124/6375/355/6351/163702/5008/1441/1896/3595/92/3561/8740/3597/356/90/1435/2057/4055/3601/7292/7133/10803/7040/7046/8742/3600/958/6348
hsa05162	Measles	113	0.544248640005227	2.18687283738227	1.16384134078455e-07	7.35547727375833e-06	5.2924153601992e-06	2708	tags=38%, list=20%, signal=31%	51284/4938/4599/4940/3559/3303/5610/3665/4939/6772/3304/7099/64135/3310/917/355/29110/598/7161/3561/9367/2213/4600/8503/356/4615/4478/54205/6504/915/637/3305/578/1027/1021/6774/8717/572/25898/5291/3312/103/1965
hsa05169	Epstein-Barr virus infection	176	0.465428906651189	1.98934707458848	3.78045674403389e-07	1.99104055185785e-05	1.43259413458126e-05	3879	tags=45%, list=29%, signal=33%	3118/3117/4938/4940/1870/3113/3122/9636/5610/3665/8819/4939/6772/3115/917/7124/2208/965/355/953/3135/29110/567/3123/1869/5925/8503/695/10213/4615/5336/1026/54205/3109/915/5714/3108/3105/2923/811/958/6890/864/5701/637/578/1027/7431/930/1021/960/6774/8717/9541/51426/5291/5971/5879/5704/5707/7979/5606/5713/7187/6885/4193/916/5702/890/3454/29760/5718/3683/1147/22938/6892/79685/6416/1871/7097
hsa04145	Phagosome	112	0.522424519562404	2.09057396279503	7.19449905109645e-07	2.85205977356006e-05	2.05211496032303e-05	3000	tags=49%, list=22%, signal=39%	3118/3117/3113/3122/948/929/4688/3688/1536/3115/7099/4689/3673/3920/2215/10382/3135/64581/3123/1520/2213/10952/9114/653361/523/8992/84790/81027/529/3109/51382/1781/821/60/3108/3105/811/7879/6890/4074/51143/3685/10376/1514/5878/29927/7037/51606/5879/9550/5869/9296/7277/5868/2214
hsa04640	Hematopoietic cell lineage	66	0.614032563758449	2.23735139282158	7.27314046896944e-07	2.85205977356006e-05	2.05211496032303e-05	1277	tags=42%, list=9%, signal=39%	3118/3117/100133941/3574/3568/290/3113/3122/3559/948/929/920/3115/1436/917/3673/7124/2208/914/921/933/925/1441/927/3123/945/3672/1435
hsa05166	Human T-cell leukemia virus 1 infection	188	0.449734855381539	1.93517085069974	8.12295505127866e-07	2.85205977356006e-05	2.05211496032303e-05	2389	tags=29%, list=18%, signal=24%	3118/3117/1870/3113/3122/3559/920/1030/1029/3115/9133/917/7124/1111/1031/9232/6688/701/3135/5530/5567/598/567/3123/1869/5925/3561/3845/5534/8503/4893/4773/9519/4085/4055/3601/1026/1959/3109/821/915/7040/7046/3108/3105/3600/811/958/5532/5594/6513/10393/7416/4214/331
hsa05170	Human immunodeficiency virus 1 infection	175	0.447666974106426	1.91258642134399	1.07895663225957e-06	3.40950295794024e-05	2.45320665861123e-05	2691	tags=37%, list=20%, signal=30%	100913187/200315/59345/983/164668/920/115004/1234/7099/9133/917/7124/1111/355/8905/130340/27350/3135/5530/54331/684/29110/140564/891/598/7465/567/1174/2775/3845/5534/8503/805/356/2773/60489/4893/4773/4615/5336/85363/6921/54205/915/7133/2787/3105/2923/811/5532/5594/6890/25939/637/5579/578/8717/9978/801/2771/572/9616/5291/6923
