ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
R-HSA-109581	Apoptosis	159	0.575954449205407	2.21330874025838	1e-10	4.22e-09	2.8280701754386e-09	3884	tags=64%, list=29%, signal=46%	63967/1869/1612/4001/23604/3005/7161/3002/90427/840/10018/7099/8743/1029/3148/55075/7533/7531/598/356/7027/3006/143471/355/578/5690/10971/5698/5580/10213/5721/5685/8655/7532/836/5691/5707/5684/5720/5714/148022/5696/5699/100506658/7534/5686/5594/54205/7186/5694/5701/6774/79658/8717/5704/596/7431/637/5715/5588/5695/5716/10197/5702/5700/7159/5687/5708/929/7979/3146/5534/5713/7529/5366/8772/8837/5062/5710/4976/5719/841/3837/5688/26060/572/6093/581/7157/331/1613/5747/5709/4836/57099/8428/9491/7314/708/10134/5717/5689
R-HSA-109582	Hemostasis	406	0.498706720065239	2.13092693815886	1e-10	4.22e-09	2.8280701754386e-09	2561	tags=39%, list=19%, signal=32%	10112/3043/24137/146909/7422/4267/11004/56992/1062/3833/9493/3832/4602/3673/59345/481/3512/135228/634/81930/8353/8357/3690/6385/308/2769/1191/80005/3674/4778/3672/302/3897/140885/8140/81027/6678/146850/2817/5196/6566/7057/3688/10184/29127/29802/5473/7465/10376/5552/3717/8503/6693/7222/2149/2162/5023/914/965/7414/81/972/60/829/2787/3959/5265/124602/84790/2157/483/161882/5341/5580/2316/5336/6404/6281/81928/5874/493/5216/7018/7873/84617/3920/2793/1020/9046/2153/22920/4893/5294/10411/57572/7277/7040/7534/2155/10487/3676/3660/5026/5594/9672/54331/2268/5153/23303/2773/1072/387/6714/5781/84876/5579/5879/391/23095/9585/5770/23052/1521/5908/3659/10383/83706/830/5573/3845/3705/139818/5588/2534/51744/57406/805/3683/1794/9371/5880/388/2771/813/81704/5567/8407/967/5527/11343/5906/5583/682/7114/832/7094/9948
R-HSA-141424	Amplification of signal from the kinetochores	89	0.718866945667	2.54070857851624	1e-10	4.22e-09	2.8280701754386e-09	1406	tags=37%, list=10%, signal=33%	332/991/701/11004/9212/699/1062/57082/79019/220134/1063/147841/5347/55143/151648/11130/79682/10403/2491/55839/81930/83540/348235/151246/4085/8655/9793/55920/91687/54821/79172/3619/79023
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	89	0.718866945667	2.54070857851624	1e-10	4.22e-09	2.8280701754386e-09	1406	tags=37%, list=10%, signal=33%	332/991/701/11004/9212/699/1062/57082/79019/220134/1063/147841/5347/55143/151648/11130/79682/10403/2491/55839/81930/83540/348235/151246/4085/8655/9793/55920/91687/54821/79172/3619/79023
R-HSA-194315	Signaling by Rho GTPases	342	0.513636417436719	2.15176929540277	1e-10	4.22e-09	2.8280701754386e-09	2619	tags=39%, list=19%, signal=32%	332/991/9928/701/6279/11004/55789/9212/699/1062/57082/6280/79019/220134/1063/147841/5347/55143/151648/11130/79682/58480/1894/10403/9824/2491/10398/55839/81930/8353/8357/11113/81027/89839/85236/3688/29127/83540/10376/348235/8334/3017/1536/7533/7531/5600/151246/84904/1495/8338/3012/4085/93663/4689/8826/3014/8339/60/23380/10144/84790/10971/4688/30851/3015/5580/2316/8655/9793/10097/7532/10788/55920/5216/91687/84617/4771/54821/10096/79172/3619/57580/79023/7277/7534/10458/10627/5594/4627/2665/23365/103910/71/10094/6249/1072/387/6714/5579/5879/391/55055/79658/64946/5500/10383/396/4628/221472/29/1730/10093/7456/4637/10092/10109/805/5880/388/9322/116984/3071/397/8976/5527/1729/7454/5501/54509/8379/7529/51143/1781/11214
R-HSA-195258	RHO GTPase Effectors	247	0.591685018016968	2.40374782313723	1e-10	4.22e-09	2.8280701754386e-09	1777	tags=37%, list=13%, signal=33%	332/991/9928/701/6279/11004/9212/699/1062/57082/6280/79019/220134/1063/147841/5347/55143/151648/11130/79682/10403/2491/10398/55839/81930/8353/8357/11113/81027/85236/3688/83540/10376/348235/8334/3017/1536/7533/7531/5600/151246/1495/8338/3012/4085/4689/8826/3014/8339/60/23380/84790/10971/4688/30851/3015/5580/2316/8655/9793/10097/7532/10788/55920/5216/91687/84617/4771/54821/10096/79172/3619/79023/7277/7534/10458/10627/5594/4627/103910/71/10094/6249/1072/387/6714/5579/5879/391/55055/64946
R-HSA-2467813	Separation of Sister Chromatids	175	0.639840918943307	2.48433076927516	1e-10	4.22e-09	2.8280701754386e-09	2943	tags=52%, list=22%, signal=41%	332/991/11065/701/113130/11004/9212/699/1062/57082/9700/79019/220134/1063/147841/5347/55143/151648/11130/79682/9232/10403/2491/55839/81930/81027/83540/10376/348235/151246/4085/143471/5690/84790/5698/10213/5721/5685/8655/9793/5691/55920/91687/84617/5707/54821/5684/5720/79172/5714/5696/3619/5699/79023/7277/5686/5694/5701/6249/55055/64946/5704/9126/8243/27338/10383/7321/5715/5695/5716/10197/5702/5700/5687/5708/5527/7979/5501/5713/8379/51143/10393/1781/22919/9183/5528/5710/6396/5885/401541/5719
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	111	0.712003984953138	2.62291843022074	1e-10	4.22e-09	2.8280701754386e-09	1456	tags=38%, list=11%, signal=34%	332/991/9133/983/701/113130/11004/9212/699/1062/57082/79019/220134/891/1063/147841/5347/55143/151648/11130/79682/10403/2491/55839/81930/81027/83540/10376/348235/151246/4085/84790/8655/9793/55920/91687/84617/54821/79172/3619/79023/7277
R-HSA-2555396	Mitotic Metaphase and Anaphase	219	0.629769592075991	2.51324523264091	1e-10	4.22e-09	2.8280701754386e-09	2943	tags=49%, list=22%, signal=39%	332/991/9133/11065/983/701/113130/11004/9212/699/1062/57082/9700/79019/220134/891/1063/147841/5347/4001/55143/151648/11130/79682/9232/10403/2491/55839/81930/81027/83540/10376/348235/151246/4085/143471/5690/84790/5698/26271/10213/5721/5685/8655/9793/5691/55920/7444/91687/84617/5707/54821/5684/5720/79172/5714/1104/5696/3619/5699/79023/27243/7277/5686/3930/7341/5901/5694/5701/6249/55055/64946/7112/5704/9126/8243/27338/10383/7321/5715/23636/25978/5695/5716/10197/5702/5700/5687/5708/5527/7979/5501/5713/8379/51143/10393/1781/22919/9183/7443/5528/6683/5710/6396/5885/22933/401541/5719
R-HSA-453274	Mitotic G2-G2/M phases	184	0.562255185836649	2.20450607019599	1e-10	4.22e-09	2.8280701754386e-09	2411	tags=36%, list=18%, signal=30%	9133/4605/2305/993/22974/983/9088/3161/890/51512/6790/891/1869/1063/5347/10733/81027/7465/10376/203068/7531/63943/143471/5690/84790/5698/10213/5721/7283/5685/8655/9793/4218/7532/5691/3320/84617/5707/115106/5684/5720/440145/5714/5696/5699/10133/7277/5686/5694/5701/10121/5704/1026/5500/10383/5715/5695/5716/10197/132660/55142/5702/5700/9978/5687/5708
