ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
R-HSA-141424	Amplification of signal from the kinetochores	89	0.774138670470047	2.48008111870555	1e-10	4.86923076923077e-09	3.67611336032389e-09	1212	tags=39%, list=9%, signal=36%	991/11004/332/699/701/9212/1063/220134/151648/79019/5347/57082/79682/1062/147841/55143/11130/83540/81930/55839/2491/10403/54821/151246/54908/55920/3619/401541/79172/4085/9793/9735/55055/79023/79980
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	89	0.774138670470047	2.48008111870555	1e-10	4.86923076923077e-09	3.67611336032389e-09	1212	tags=39%, list=9%, signal=36%	991/11004/332/699/701/9212/1063/220134/151648/79019/5347/57082/79682/1062/147841/55143/11130/83540/81930/55839/2491/10403/54821/151246/54908/55920/3619/401541/79172/4085/9793/9735/55055/79023/79980
R-HSA-156842	Eukaryotic Translation Elongation	87	-0.693188100990252	-2.53816822171037	1e-10	4.86923076923077e-09	3.67611336032389e-09	3445	tags=87%, list=25%, signal=66%	6175/6181/6209/6159/6229/6168/6139/6231/6142/9045/6132/6228/6147/6128/51065/6187/6154/6233/9349/6134/6130/6167/3921/6136/6138/25873/6205/6171/6129/6141/6143/6230/6206/7311/6169/6157/6164/4736/6135/6124/6125/23521/6201/6165/6224/6137/6152/1915/6217/6170/6227/6222/6144/6146/6232/6194/6210/6122/6235/11224/6188/6155/6156/6234/6208/6166/6161/6160/6204/6207/1933/6202/6191/6193/6133/6189
R-HSA-156902	Peptide chain elongation	85	-0.695138626379172	-2.53659776921064	1e-10	4.86923076923077e-09	3.67611336032389e-09	3445	tags=88%, list=25%, signal=66%	6175/6181/6209/6159/6229/6168/6139/6231/6142/9045/6132/6228/6147/6128/51065/6187/6154/6233/9349/6134/6130/6167/3921/6136/6138/25873/6205/6171/6129/6141/6143/6230/6206/7311/6169/6157/6164/4736/6135/6124/6125/23521/6201/6165/6224/6137/6152/1915/6217/6170/6227/6222/6144/6146/6232/6194/6210/6122/6235/11224/6188/6155/6156/6234/6208/6166/6161/6160/6204/6207/6202/6191/6193/6133/6189
R-HSA-192823	Viral mRNA Translation	85	-0.690258230154141	-2.51878894416842	1e-10	4.86923076923077e-09	3.67611336032389e-09	3445	tags=87%, list=25%, signal=65%	6175/6181/6209/6159/6229/6168/6139/6231/6142/9045/6132/6228/6147/6128/51065/6187/6154/6233/9349/6134/6130/6167/3921/6136/6138/25873/6205/6171/6129/6141/6143/6230/6206/7311/6169/6157/6164/4736/6135/6124/6125/23521/6201/6165/6224/6137/6152/6217/6170/6227/6222/6144/6146/6232/6194/6210/6122/6235/11224/6188/6155/6156/6234/6208/6166/6161/6160/6204/6207/6202/6191/6193/6133/6189
R-HSA-195258	RHO GTPase Effectors	247	0.599781750211515	2.20376319860509	1e-10	4.86923076923077e-09	3.67611336032389e-09	1494	tags=29%, list=11%, signal=26%	991/11004/332/699/9928/6279/701/9212/1063/220134/151648/79019/5347/57082/6280/79682/1062/147841/55143/11130/11113/83540/8357/81930/55839/2491/10403/10398/5600/3012/81027/10376/8353/5747/7531/54821/8339/151246/54908/55920/3619/401541/84617/3014/3015/79172/85236/4085/7533/60/8344/71/4628/10788/23380/7532/8350/9793/9735/55055/2316/5580/79023/79980/84790/3017/3985/10458/4771/4627/10383/7277
R-HSA-2467813	Separation of Sister Chromatids	175	0.687820133856464	2.43297222483287	1e-10	4.86923076923077e-09	3.67611336032389e-09	2112	tags=41%, list=16%, signal=35%	991/11004/332/11065/9700/699/113130/701/9212/1063/220134/151648/79019/5347/57082/79682/1062/147841/55143/11130/83540/81930/55839/2491/10403/9232/81027/10376/54821/151246/54908/55920/3619/401541/5685/84617/79172/4085/5721/5699/9793/9735/55055/5707/79023/79980/5698/5690/84790/27338/5696/5694/10383/7277/10213/5691/5686/5687/5709/5720/348235/9126/5708/64946/5700/8379/5693/5717/5714/5519/5719/143471
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	111	0.76152179289962	2.53285352205083	1e-10	4.86923076923077e-09	3.67611336032389e-09	1212	tags=38%, list=9%, signal=35%	991/11004/9133/332/699/113130/701/9212/983/1063/220134/151648/79019/5347/57082/891/79682/1062/147841/55143/11130/83540/81930/55839/2491/10403/81027/10376/54821/151246/54908/55920/3619/401541/84617/79172/4085/9793/9735/55055/79023/79980
R-HSA-2555396	Mitotic Metaphase and Anaphase	219	0.669895076046377	2.43856221539353	1e-10	4.86923076923077e-09	3.67611336032389e-09	2112	tags=39%, list=16%, signal=33%	991/11004/9133/332/11065/9700/699/113130/701/9212/983/1063/220134/151648/79019/5347/57082/891/79682/1062/147841/55143/11130/4001/83540/81930/55839/2491/10403/9232/81027/10376/54821/151246/54908/55920/3619/401541/5685/84617/79172/4085/5721/5699/1104/9793/9735/55055/5707/79023/7444/79980/5698/5690/84790/27338/26271/5696/5694/10383/7277/5901/10213/27243/5691/5686/5687/5709/5720/348235/9126/23636/5708/64946/5700/8379/5693/5717/3837/5714/5519/9631/5719/9688/143471
R-HSA-453274	Mitotic G2-G2/M phases	184	0.619531208524037	2.20308011116102	1e-10	4.86923076923077e-09	3.67611336032389e-09	2160	tags=32%, list=16%, signal=27%	993/9133/2305/9088/51512/4605/890/3161/22974/983/1063/5347/6790/891/1869/10733/7283/81027/10376/203068/7531/7465/5685/84617/5721/5699/22995/7532/9793/5707/1017/5577/5698/5690/84790/5696/5694/10383/7277/10213/3320/5691/5686/5687/5709/5720/5116/7157/5708/4218/5700/5693/5717/5714/5519/5719/143471/3326/653784
