ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
R-HSA-6798695	Neutrophil degranulation	390	0.475435648497002	2.20778313430522	1e-10	3.165e-08	2.43947368421053e-08	3584	tags=48%, list=26%, signal=36%	3728/290/100049587/11240/7226/11001/5265/107987462/102725035/6282/683/140885/2219/948/929/3303/4332/3848/1536/3304/1471/302/3310/2040/84418/4069/5873/7414/10875/719/965/55313/29108/5836/6280/2357/3920/9522/11010/2215/1075/80301/5912/684/8826/22875/8560/6279/10097/353189/10890/54918/567/3958/221/8655/5906/160364/8895/1520/10549/84061/84443/10857/945/5611/1508/8649/4893/2517/5795/10555/55754/10213/2896/5223/124583/5788/150372/2171/9761/25801/51719/57826/10092/102/22931/6836/2519/51382/1992/79888/5049/58485/7133/6283/51125/5580/2665/387/5908/3105/391/411/5594/3320/5236/7879/2268/3163/963/6386/5724/5701/7520/47/5870/196527/55276/51143/10487/80331/960/967/23412/84329/2720/966/3685/28956/3101/23406/23071/22918/1522/3312/2760/5878/240/1675/26578/126014/5686/8673/2799/258010/5879/1476/5329/5869/847/127829/5695/2512/5707/7415/2992/5175/10788/23191/1512/203068/3071/175/5713/2683/5799/1315/6727/9218/55860/1729/57020/10159/5547/23200/121260/3577/2821/10577/823/634/3689/2547/5702/4860
R-HSA-69278	Cell Cycle, Mitotic	494	0.411302725690229	1.94732108444141	1e-10	3.165e-08	2.43947368421053e-08	3316	tags=35%, list=24%, signal=28%	8334/10112/157570/1870/64151/983/1062/1030/4605/1029/990/332/23397/63943/8353/11065/9133/348235/22974/6241/7321/440145/7298/1031/5111/9232/85236/3717/9837/701/5500/8338/3017/143471/54892/10403/10382/2305/7153/57082/64785/9212/3161/891/25978/51659/7465/10776/113130/1869/2237/5925/8655/115106/10592/4001/2491/132660/7341/10133/9088/81620/6714/55839/5933/8318/4218/6790/5715/91687/3930/6683/5716/10213/993/5690/5862/26271/84790/10051/81027/55142/4085/79019/6249/5684/5527/5698/1026/7027/81876/1781/81930/6119/5714/140609/10733/5558/26003/147841/3014/5691/10783/220134/22822/4659/5720/55143/5594/9793/3320/7083/5701/4998/8556/7112/10393/151246/51143/5579/121441/1027/1021/5515/5501/5525/5529/1163/9978/10735/8243/1028/114799/5721/4331/1763/10376/10121/5696/7532/6118/27243/8357/5885/7444/5686/7324/10197/5704/56655/7277/5695/996/5707/3796/7979/3015/22919/84131/1022/51451/5981/4173/203068/5713/9738/7531/991/5422/91750/79648/64946/23421/5901/23047
R-HSA-909733	Interferon alpha/beta signaling	56	0.755223600536184	2.67971315891417	1e-10	3.165e-08	2.43947368421053e-08	1319	tags=43%, list=10%, signal=39%	3429/3434/3437/91543/4938/11274/4599/2537/8638/4940/3662/54739/9636/3665/4939/6772/3433/3135/684/8519/10581/4600/24138/3660
R-HSA-913531	Interferon Signaling	168	0.626731247166776	2.675175898968	1e-10	3.165e-08	2.43947368421053e-08	1636	tags=32%, list=12%, signal=29%	3429/3118/3117/3434/3437/3120/91543/4938/11274/4599/2537/3458/51191/8638/4940/3662/54739/3113/3122/9636/5610/3665/4939/6772/3115/7412/3717/3433/3135/684/9246/2635/8519/6737/567/115361/3123/10581/2633/317649/4502/5495/4600/7341/7706/24138/3839/3660/7334/6672/85363/1977/8672/4261
R-HSA-877300	Interferon gamma signaling	75	0.676937892010305	2.51392815014264	1.43562073658264e-10	3.63499170502726e-08	2.80172720592024e-08	2521	tags=55%, list=19%, signal=45%	3118/3117/3120/4938/3458/8638/4940/3662/3113/3122/3665/4939/6772/3115/7412/3717/3135/2635/6737/567/115361/3123/2633/4502/7341/7706/3660/6672/85363/4261/5580/5770/9021/3105/8651/5724/7726/960/10346/115362/81603
R-HSA-69620	Cell Cycle Checkpoints	257	0.457496017127696	2.04067369263883	4.83300968029037e-10	1.01976504254127e-07	7.8599999537354e-08	4309	tags=52%, list=32%, signal=36%	983/1062/1029/990/332/83990/11065/9133/116028/348235/7321/1111/85236/701/3017/143471/10403/7534/10971/57082/5932/9212/891/7465/57060/8655/25946/7533/2491/7341/83695/9088/55839/8318/5715/91687/5716/7334/63967/10213/993/5690/4085/79019/6249/5684/5527/144715/5698/1026/80010/7336/9156/1781/81930/6119/5714/147841/3014/5691/220134/5720/55143/9793/5701/4998/9025/10393/7529/151246/51143/1027/9577/5515/5501/5525/5529/5721/1763/5696/7532/6118/5686/7324/10197/5704/5695/996/5707/3796/7979/22919/4173/5713/7531/991/64946/23421/5001/5528/4193/5694/672/5685/4175/5702/890/10926/5718/79023/9184/51230/5711/8339/55166/4172/4683/51720/7314/10111/6396/84515/79184/11004/11130/4171/7316/9183/9491/5688/5710/5516/25936
R-HSA-195258	RHO GTPase Effectors	247	0.465108658049862	2.0796561337589	4.23411005222056e-09	7.65769046587318e-07	5.9022857419676e-07	3382	tags=45%, list=25%, signal=35%	8334/114793/4688/1062/3688/1536/332/999/9928/8353/4689/348235/8976/388/85236/1495/6280/701/5500/8338/10398/3017/103910/10403/10382/7534/10971/57082/8826/9212/6279/30851/10097/8655/7533/2491/805/695/1730/4690/6714/55839/91687/653361/10096/23380/84790/81027/10094/4085/79019/6249/5527/10092/5216/1781/81930/60/5580/10627/387/147841/3014/7456/2316/391/220134/4659/55143/5594/9793/4637/10093/7529/4771/10109/151246/51143/5579/1027/5515/3799/5501/5525/5529/10499/801/23002/10376/998/7532/8357/55845/5879/7277/1072/5880/3796/3015/22919/10788/23191/3071/7531/991/64946/2885/10458/23421/4627/1729/10006
R-HSA-453279	Mitotic G1 phase and G1/S transition	146	0.524586773365444	2.16519187749587	5.72487304152226e-09	9.05961158820897e-07	6.98283856511991e-07	4287	tags=55%, list=32%, signal=38%	1870/983/1030/4605/1029/990/6241/7298/1031/5111/3717/7153/891/7465/1869/5925/132660/81620/6714/5933/8318/5715/5716/10213/993/5690/26271/5684/5698/1026/7027/6119/5714/5558/5691/5720/7083/5701/4998/1027/1021/5515/1163/1028/5721/4331/5696/6118/5686/10197/5704/56655/5695/5707/7979/1022/4173/5713/5422/91750/5001/5694/5685/4175/51053/5702/890/10926/5718/5711/1871/4172/7314/1032/84515/4171/7316/9491/5688/5710/5516
R-HSA-109582	Hemostasis	406	0.391266173158858	1.82581563077195	7.67786367244355e-09	9.96693106310796e-07	7.68216936517924e-07	2627	tags=35%, list=19%, signal=29%	4267/29802/7222/59345/481/10112/5265/1191/135228/3897/140885/948/1062/146850/308/5739/3688/2627/2769/2817/124602/302/8353/3832/5552/7414/3673/2157/965/6385/6693/388/914/3717/56992/2162/24137/57572/3920/10382/829/7534/5874/6281/54331/830/5294/5341/5567/4778/972/7465/3959/493/7076/483/5906/2625/3845/6404/8503/805/2773/2621/3672/6714/8654/4893/9046/81/9056/55605/5573/3660/6566/3797/84790/81027/5336/6678/84876/5527/57406/7873/8407/146909/22920/10184/7422/80005/5216/81930/60/2787/5580/7040/2982/387/10411/5908/7114/5770/2316/11127/81928/29127/391/51744/2153/5594/2268/23095/6717/5153/23052/10749/51571/10257/5579/54518/10487/5515/3799/960/967/139818/682/5525/5529/3833/3685/801/9371/2771/5593/6814/3676/139322/10125/10376/998/6654/5291
R-HSA-5357801	Programmed Cell Death	171	0.496572395597306	2.1171080091177	7.87277335158606e-09	9.96693106310796e-07	7.68216936517924e-07	3660	tags=49%, list=27%, signal=36%	1612/3005/23604/929/8743/1029/999/7099/90427/355/143471/7534/10971/330/5366/840/598/7161/1869/8655/5534/7533/4001/356/5715/5716/63967/10213/5690/2620/3002/5684/5698/7027/54205/79658/3148/148022/5714/5580/5691/5720/5594/3320/6386/4976/5701/637/55075/7529/578/7159/7431/331/6774/8717/5721/329/572/5696/7532/10134/5686/3006/10197/5704/5695/23643/5707/7979/51765/5713/7531/5588/10211/51074/839/5694/5685/5062/8428/5702/5718/11035
