Gene.stable.ID	Gene.name	Gene.type	Gene.description	Chromosome.scaffold.name	logFC	logCPM	LR	PValue	FDR
ENSG00000198832	SELENOM	protein_coding	selenoprotein M [Source:HGNC Symbol;Acc:HGNC:30397]	22	-1.08261461130016	3.91652649044245	31.3760039969027	2.12592175626883e-08	0.000324925881228128
ENSG00000276043	UHRF1	protein_coding	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	19	2.87916615348904	2.80218429662058	23.5885161511804	1.19297366861008e-06	0.00652456358127725
ENSG00000235903	CPB2-AS1	lncRNA	CPB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39898]	13	2.36967894640651	1.0095763797848	23.2755720315459	1.4037157299508e-06	0.00652456358127725
ENSG00000148773	MKI67	protein_coding	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	10	3.18433185225385	5.92535757981265	22.6257773601345	1.96826040671826e-06	0.00652456358127725
ENSG00000111206	FOXM1	protein_coding	forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]	12	2.93074120205475	2.82683144918653	21.9950663563213	2.7335222356162e-06	0.00652456358127725
ENSG00000104738	MCM4	protein_coding	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	8	1.88732547193372	5.29109424582173	21.8783241458794	2.90496816816195e-06	0.00652456358127725
ENSG00000138180	CEP55	protein_coding	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	10	3.18845112679532	2.1566659285505	21.4744324071876	3.58577894871496e-06	0.00652456358127725
ENSG00000145386	CCNA2	protein_coding	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	4	2.70355547829267	3.00918108838183	21.4581899188871	3.6162814172819e-06	0.00652456358127725
ENSG00000271109	AC008555.4	lncRNA	novel transcript	19	-0.823496248098118	4.46277045755603	21.0421302559751	4.49294432232047e-06	0.00652456358127725
ENSG00000138316	ADAMTS14	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]	10	2.25091461727859	0.657887940993101	20.973446822978	4.65693232991666e-06	0.00652456358127725
ENSG00000105011	ASF1B	protein_coding	anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]	19	1.63499714817801	3.00188026394449	20.760021928511	5.20584254339461e-06	0.00652456358127725
